Date,Open,High,Low,Close,Volume
2021-01-04 08:00:00,3698.89,3724.03,3690.7,3709.05,1730989726
2021-01-04 12:00:00,3709.05,3716.92,3679.21,3702.22,2049256581
2021-01-05 08:00:00,3707.98,3721.36,3686.61,3698.73,1467051999
2021-01-05 12:00:00,3698.73,3715.3,3689.86,3711.06,1559491172
2021-01-06 08:00:00,3701.02,3727.25,3694.06,3714.97,1472624675
2021-01-06 12:00:00,3714.97,3729.89,3658.78,3674.3,1623456210
2021-01-07 08:00:00,3671.64,3676.14,3649.74,3654.48,1185264498
2021-01-07 12:00:00,3654.48,3659.15,3608.91,3625.95,1184897334
2021-01-08 08:00:00,3634.94,3656.66,3628.57,3642.3,1564001200
2021-01-08 12:00:00,3642.3,3664.99,3640.18,3651.32,1592079861
2021-01-11 08:00:00,3659.5,3679.1,3644.94,3676.21,2209694556
2021-01-11 12:00:00,3676.21,3720.16,3666.14,3711.24,2257675452
2021-01-12 08:00:00,3701.57,3709.74,3686.12,3689.55,1561599874
2021-01-12 12:00:00,3689.55,3706.82,3676.08,3705.97,1815570683
2021-01-13 08:00:00,3691.02,3707.95,3684.43,3695.96,1966881838
2021-01-13 12:00:00,3695.96,3712.96,3671.67,3711.64,1904277911
2021-01-14 08:00:00,3726.1,3750.81,3717.98,3740.49,2062627947
2021-01-14 12:00:00,3740.49,3776.64,3739.36,3771.54,2295652584
2021-01-15 08:00:00,3771.69,3824.66,3770.17,3819.77,1217765041
2021-01-15 12:00:00,3819.77,3826.07,3783.37,3804.5,1304923394
2021-01-19 08:00:00,3814.41,3852.87,3803.99,3850.09,1080332780
2021-01-19 12:00:00,3850.09,3889.17,3841.62,3886.06,1154711986
2021-01-20 08:00:00,3886.68,3893.01,3856.29,3875.6,1757463919
2021-01-20 12:00:00,3875.6,3879.99,3820.48,3838.75,1937783453
2021-01-21 08:00:00,3836.79,3851.83,3792.56,3794.03,1788724446
2021-01-21 12:00:00,3794.03,3833.58,3782.76,3817.28,1993356050
2021-01-22 08:00:00,3803.52,3809.28,3781.08,3782.32,1737223090
2021-01-22 12:00:00,3782.32,3789.92,3748.82,3787.15,1741058160
2021-01-25 08:00:00,3781.34,3793.64,3771.52,3783.51,1928022016
2021-01-25 12:00:00,3783.51,3812.35,3775.22,3781.2,2247925072
2021-01-26 08:00:00,3773.28,3775.06,3735.19,3751.83,2436911245
2021-01-26 12:00:00,3751.83,3775.32,3734.85,3756.9,2524519728
2021-01-27 08:00:00,3744.5,3769.04,3724.4,3767.82,1397342897
2021-01-27 12:00:00,3767.82,3777.47,3735.79,3735.88,1556803515
2021-01-28 08:00:00,3736.75,3770.66,3723.16,3765.47,1124806817
2021-01-28 12:00:00,3765.47,3802.62,3763.95,3782.84,1181740542
2021-01-29 08:00:00,3788.05,3878.83,3777.32,3874.63,1857790947
2021-01-29 12:00:00,3874.63,3900.24,3845.12,3894.97,1987904976
2021-02-01 08:00:00,3886.02,3895.49,3855.24,3892.02,2581436326
2021-02-01 12:00:00,3892.02,3909.82,3874.72,3888.62,2592693017
2021-02-02 08:00:00,3896.12,3911.72,3883.3,3907.79,1725837798
2021-02-02 12:00:00,3907.79,3921.15,3883.93,3901.5,1769197912
2021-02-03 08:00:00,3905.36,3934.27,3897.84,3923.58,1386868839
2021-02-03 12:00:00,3923.58,3976.64,3895.94,3960.06,1431217673
2021-02-04 08:00:00,3947.26,3962.86,3933.31,3933.56,1591474994
2021-02-04 12:00:00,3933.56,3971.77,3931.34,3949.54,1749518129
2021-02-05 08:00:00,3938.63,3994.66,3928.77,3993.05,1567603320
2021-02-05 12:00:00,3993.05,4004.19,3956.85,3973.77,1725009413
2021-02-08 08:00:00,3971.59,3977.1,3936.53,3942.91,1445174926
2021-02-08 12:00:00,3942.91,4005.3,3936.55,3993.58,1635738276
2021-02-09 08:00:00,3983.67,3985.13,3945.44,3961.54,2088032091
2021-02-09 12:00:00,3961.54,3963.04,3916.86,3961.28,2229888702
2021-02-10 08:00:00,3961.26,4062.54,3939.89,4062.2,1080642765
2021-02-10 12:00:00,4062.2,4098.14,4046.29,4051.63,1065391849
2021-02-11 08:00:00,4069.6,4086.28,4054.34,4074.97,2850319330
2021-02-11 12:00:00,4074.97,4081.04,4036.05,4047.89,2846161069
2021-02-12 08:00:00,4055.92,4076.46,4049.33,4070.39,1043491341
2021-02-12 12:00:00,4070.39,4102.07,4070.29,4093.62,1044508210
2021-02-16 08:00:00,4097.61,4121.34,4086.43,4116.1,1732381009
