Date,Open,High,Low,Close,Volume
2021-01-04 09:30:00,3698.89,3699.7,3690.7,3698.91,391002873
2021-01-04 09:45:00,3698.91,3707.92,3698.18,3703.78,259360329
2021-01-04 10:00:00,3703.78,3717.5,3703.19,3714.71,167117683
2021-01-04 10:15:00,3714.71,3719.24,3709.73,3711.39,167089457
2021-01-04 10:30:00,3711.39,3715.22,3699.95,3700.24,191845656
2021-01-04 10:45:00,3700.24,3709.83,3698.67,3707.63,156006445
2021-01-04 11:00:00,3707.63,3714.67,3705.57,3712.51,133286499
2021-01-04 11:15:00,3712.51,3715.26,3707.39,3713.85,104169180
2021-01-04 11:30:00,3713.85,3724.03,3705.02,3706.12,87302931
2021-01-04 11:45:00,3706.12,3711.03,3700.36,3709.05,73808673
2021-01-04 12:00:00,3709.05,3716.92,3707.05,3715.17,64354883
2021-01-04 12:15:00,3715.17,3715.5,3702.92,3703.35,47419342
2021-01-04 12:30:00,3703.35,3710.42,3698.83,3703.1,41454966
2021-01-04 12:45:00,3703.1,3712.21,3701.06,3701.45,57502847
2021-01-04 13:00:00,3701.45,3706.76,3699.47,3705.49,69230362
2021-01-04 13:15:00,3705.49,3706.2,3692.43,3693.21,89625079
2021-01-04 13:30:00,3693.21,3695.22,3686.84,3689.32,88066502
2021-01-04 13:45:00,3689.32,3694.67,3686.29,3691.04,92463995
2021-01-04 14:00:00,3691.04,3693.13,3685.34,3692.44,90345645
2021-01-04 14:15:00,3692.44,3693.86,3685.91,3686.62,113243814
2021-01-04 14:30:00,3686.62,3689.18,3679.21,3686.67,111986008
2021-01-04 14:45:00,3686.67,3710.45,3685.88,3708.96,153757693
2021-01-04 15:00:00,3708.96,3712.47,3702.97,3704.95,200826630
2021-01-04 15:15:00,3704.95,3712.52,3700.59,3702.76,258157455
2021-01-04 15:30:00,3702.76,3709.06,3700.36,3707.18,252693514
2021-01-04 15:45:00,3707.18,3707.49,3701.02,3702.22,318127846
2021-01-05 09:30:00,3707.98,3710.55,3701.64,3704.84,281216820
2021-01-05 09:45:00,3704.84,3706.12,3699.99,3702.66,235451833
2021-01-05 10:00:00,3702.66,3719.15,3701.61,3717.08,197023819
2021-01-05 10:15:00,3717.08,3721.36,3713.26,3714.36,172850532
2021-01-05 10:30:00,3714.36,3716.2,3698.32,3698.65,126343265
2021-01-05 10:45:00,3698.65,3702.85,3697.03,3701.21,136503807
2021-01-05 11:00:00,3701.21,3706.02,3692.72,3693.59,101387773
2021-01-05 11:15:00,3693.59,3694.97,3686.61,3690.17,108419780
2021-01-05 11:30:00,3690.17,3699.29,3688.17,3697.63,64260101
2021-01-05 11:45:00,3697.63,3698.98,3692.27,3698.73,43594269
2021-01-05 12:00:00,3698.73,3703.74,3694.96,3703.28,44651210
